Município,UF,chave,cd_mun,status
Inajá,PE,INAJA/PE,2607000,OK
Araguaiana,MT,ARAGUAIANA/MT,5101001,OK
Joaquim Felício,MG,JOAQUIM FELICIO/MG,3136405,OK
São João do Polêsine,RS,SAO JOAO DO POLESINE/RS,4318432,OK
Tumiritinga,MG,TUMIRITINGA/MG,3169505,OK
São Luiz,RR,SAO LUIZ/RR,1400605,OK
Lagoa Salgada,RN,LAGOA SALGADA/RN,2406601,OK
Mogeiro,PB,MOGEIRO/PB,2509404,OK
Castro Alves,BA,CASTRO ALVES/BA,2907301,OK
Chupinguaia,RO,CHUPINGUAIA/RO,1100924,OK
Planalto,RS,PLANALTO/RS,4314704,OK
Coração de Jesus,MG,CORACAO DE JESUS/MG,3118809,OK
Nova Redenção,BA,NOVA REDENCAO/BA,2922854,OK
Morpará,BA,MORPARA/BA,2921609,OK
Serrita,PE,SERRITA/PE,2614006,OK
Remanso,BA,REMANSO/BA,2926004,OK
Braúnas,MG,BRAUNAS/MG,3108800,OK
Ouro Velho,PB,OURO VELHO/PB,2510600,OK
Passira,PE,PASSIRA/PE,2610509,OK
Baldim,MG,BALDIM/MG,3105004,OK
São Domingos do Azeitão,MA,SAO DOMINGOS DO AZEITAO/MA,2110658,OK
Itinga,MG,ITINGA/MG,3134004,OK
Água Doce do Norte,ES,AGUA DOCE DO NORTE/ES,3200169,OK
Lima Campos,MA,LIMA CAMPOS/MA,2106003,OK
Cedro,CE,CEDRO/CE,2303808,OK
Dueré,TO,DUERE/TO,1707306,OK
Quebrangulo,AL,QUEBRANGULO/AL,2707602,OK
São Gonçalo do Gurguéia,PI,SAO GONCALO DO GURGUEIA/PI,2209757,OK
Ibirataia,BA,IBIRATAIA/BA,2912905,OK
Nova Belém,MG,NOVA BELEM/MG,3144672,OK
Ibarama,RS,IBARAMA/RS,4309753,OK
Flores do Piauí,PI,FLORES DO PIAUI/PI,2203800,OK
Itanhém,BA,ITANHEM/BA,2916005,OK
Itueta,MG,ITUETA/MG,3134103,OK
Monte Santo do Tocantins,TO,MONTE SANTO DO TOCANTINS/TO,1713700,OK
Itabaiana,PB,ITABAIANA/PB,2506905,OK
Juara,MT,JUARA/MT,5105101,OK
Jupi,PE,JUPI/PE,2608305,OK
Taperoá,PB,TAPEROA/PB,2516508,OK
São Lourenço da Mata,PE,SAO LOURENCO DA MATA/PE,2613701,OK
Fernando Pedroza,RN,FERNANDO PEDROZA/RN,2403756,OK
Almino Afonso,RN,ALMINO AFONSO/RN,2400604,OK
Dias d'Ávila,BA,DIAS D AVILA/BA,2910057,OK
Boqueirão do Leão,RS,BOQUEIRAO DO LEAO/RS,4302451,OK
Bituruna,PR,BITURUNA/PR,4102901,OK
Reriutaba,CE,RERIUTABA/CE,2311702,OK
Amontada,CE,AMONTADA/CE,2300754,OK
Joca Marques,PI,JOCA MARQUES/PI,2205458,OK
Erval Grande,RS,ERVAL GRANDE/RS,4307203,OK
Indaiabira,MG,INDAIABIRA/MG,3130655,OK
Santa Terezinha,BA,SANTA TEREZINHA/BA,2928505,OK
Galinhos,RN,GALINHOS/RN,2404101,OK
Entre Rios,SC,ENTRE RIOS/SC,4205175,OK
Roteiro,AL,ROTEIRO/AL,2707800,OK
Amaraji,PE,AMARAJI/PE,2600906,OK
Capim,PB,CAPIM/PB,2504033,OK
Arara,PB,ARARA/PB,2500908,OK
Rio do Prado,MG,RIO DO PRADO/MG,3155108,OK
Mairi,BA,MAIRI/BA,2920106,OK
Santo Antônio do Retiro,MG,SANTO ANTONIO DO RETIRO/MG,3160454,OK
Indiaroba,SE,INDIAROBA/SE,2802809,OK
Serra Preta,BA,SERRA PRETA/BA,2930402,OK
Alto Alegre do Pindaré,MA,ALTO ALEGRE DO PINDARE/MA,2100477,OK
Monte Formoso,MG,MONTE FORMOSO/MG,3143153,OK
Branquinha,AL,BRANQUINHA/AL,2701100,OK
Santana de Pirapama,MG,SANTANA DE PIRAPAMA/MG,3158508,OK
Santo Antônio do Jacinto,MG,SANTO ANTONIO DO JACINTO/MG,3160306,OK
Paraíso,SC,PARAISO/SC,4212239,OK
Luisburgo,MG,LUISBURGO/MG,3138674,OK
Castanheiras,RO,CASTANHEIRAS/RO,1100908,OK
Vera Cruz,RN,VERA CRUZ/RN,2414803,OK
Potiretama,CE,POTIRETAMA/CE,2311231,OK
Pedras Altas,RS,PEDRAS ALTAS/RS,4314175,OK
Sertânia,PE,SERTANIA/PE,2614105,OK
Urupá,RO,URUPA/RO,1101708,OK
União dos Palmares,AL,UNIAO DOS PALMARES/AL,2709301,OK
Godofredo Viana,MA,GODOFREDO VIANA/MA,2104305,OK
Cocos,BA,COCOS/BA,2908101,OK
Poxoréu,MT,POXOREU/MT,5107008,OK
Piripá,BA,PIRIPA/BA,2924702,OK
Jaquirana,RS,JAQUIRANA/RS,4311122,OK
Sinimbu,RS,SINIMBU/RS,4320677,OK
Sanharó,PE,SANHARO/PE,2612406,OK
Cajuri,MG,CAJURI/MG,3110202,OK
Riachinho,TO,RIACHINHO/TO,1718550,OK
São Francisco,PB,SAO FRANCISCO/PB,2513984,OK
Campo Largo do Piauí,PI,CAMPO LARGO DO PIAUI/PI,2202174,OK
Maracaçumé,MA,MARACACUME/MA,2106326,OK
Uruçuca,BA,URUCUCA/BA,2932705,OK
Guapiara,SP,GUAPIARA/SP,3517604,OK
Capitão Gervásio Oliveira,PI,CAPITAO GERVASIO OLIVEIRA/PI,2202455,OK
Porto Firme,MG,PORTO FIRME/MG,3152303,OK
Itaueira,PI,ITAUEIRA/PI,2205102,OK
Baixa Grande,BA,BAIXA GRANDE/BA,2902609,OK
Rio Vermelho,MG,RIO VERMELHO/MG,3156007,OK
Catas Altas da Noruega,MG,CATAS ALTAS DA NORUEGA/MG,3115409,OK
Santa Inês,PB,SANTA INES/PB,2513356,OK
Itaboraí,RJ,ITABORAI/RJ,3301900,OK
Tucuruí,PA,TUCURUI/PA,1508100,OK
Luís Gomes,RN,LUIS GOMES/RN,2407005,OK
Milton Brandão,PI,MILTON BRANDAO/PI,2206357,OK
Santa Leopoldina,ES,SANTA LEOPOLDINA/ES,3204500,OK
São Caitano,PE,SAO CAITANO/PE,2613107,OK
São José dos Basílios,MA,SAO JOSE DOS BASILIOS/MA,2111250,OK
Lagoa de Dentro,PB,LAGOA DE DENTRO/PB,2508208,OK
Macajuba,BA,MACAJUBA/BA,2919603,OK
Viçosa do Ceará,CE,VICOSA DO CEARA/CE,2314102,OK
Malhada de Pedras,BA,MALHADA DE PEDRAS/BA,2920304,OK
Araguacema,TO,ARAGUACEMA/TO,1701903,OK
São Félix do Araguaia,MT,SAO FELIX DO ARAGUAIA/MT,5107859,OK
Nazaré do Piauí,PI,NAZARE DO PIAUI/PI,2206704,OK
Matinhas,PB,MATINHAS/PB,2509339,OK
Ribeirãozinho,MT,RIBEIRAOZINHO/MT,5107198,OK
Buritirana,MA,BURITIRANA/MA,2102358,OK
Cachoeira de Pajeú,MG,CACHOEIRA DE PAJEU/MG,3102704,OK
São Raimundo das Mangabeiras,MA,SAO RAIMUNDO DAS MANGABEIRAS/MA,2111607,OK
Vicente Dutra,RS,VICENTE DUTRA/RS,4323101,OK
Buriti Bravo,MA,BURITI BRAVO/MA,2102309,OK
Jaicós,PI,JAICOS/PI,2205201,OK
Matias Olímpio,PI,MATIAS OLIMPIO/PI,2206100,OK
Simonésia,MG,SIMONESIA/MG,3167608,OK
Montalvânia,MG,MONTALVANIA/MG,3142700,OK
Goiana,PE,GOIANA/PE,2606200,OK
Aldeias Altas,MA,ALDEIAS ALTAS/MA,2100303,OK
Cachoeira do Arari,PA,CACHOEIRA DO ARARI/PA,1502004,OK
Lagoa Real,BA,LAGOA REAL/BA,2918753,OK
Lagoa do Barro do Piauí,PI,LAGOA DO BARRO DO PIAUI/PI,2205565,OK
Ubatã,BA,UBATA/BA,2932309,OK
Conquista D'Oeste,MT,CONQUISTA D OESTE/MT,5103361,OK
Feliz Natal,MT,FELIZ NATAL/MT,5103700,OK
Nova Crixás,GO,NOVA CRIXAS/GO,5214838,OK
Balsas,MA,BALSAS/MA,2101400,OK
Mata de São João,BA,MATA DE SAO JOAO/BA,2921005,OK
Boa Nova,BA,BOA NOVA/BA,2903706,OK
São João da Serra,PI,SAO JOAO DA SERRA/PI,2209906,OK
Loreto,MA,LORETO/MA,2106102,OK
Jataúba,PE,JATAUBA/PE,2608008,OK
Guajeru,BA,GUAJERU/BA,2911659,OK
Limoeiro de Anadia,AL,LIMOEIRO DE ANADIA/AL,2704203,OK
Queimadas,BA,QUEIMADAS/BA,2925808,OK
Filadélfia,TO,FILADELFIA/TO,1707702,OK
Anadia,AL,ANADIA/AL,2700201,OK
General Carneiro,PR,GENERAL CARNEIRO/PR,4108502,OK
São Pedro,RN,SAO PEDRO/RN,2412708,OK
União,PI,UNIAO/PI,2211100,OK
Iati,PE,IATI/PE,2606507,OK
Manari,PE,MANARI/PE,2609154,OK
Ponte Serrada,SC,PONTE SERRADA/SC,4213401,OK
Turvânia,GO,TURVANIA/GO,5221502,OK
Carolina,MA,CAROLINA/MA,2102804,OK
Mulungu do Morro,BA,MULUNGU DO MORRO/BA,2922052,OK
Caxias,MA,CAXIAS/MA,2103000,OK
Augustinópolis,TO,AUGUSTINOPOLIS/TO,1702554,OK
Pedro Canário,ES,PEDRO CANARIO/ES,3204054,OK
Itaquitinga,PE,ITAQUITINGA/PE,2607802,OK
Santa Luzia D'Oeste,RO,SANTA LUZIA D OESTE/RO,1100296,OK
Jequitibá,MG,JEQUITIBA/MG,3135704,OK
Vila Rica,MT,VILA RICA/MT,5108600,OK
Cariri do Tocantins,TO,CARIRI DO TOCANTINS/TO,1703867,OK
Ribeirão do Largo,BA,RIBEIRAO DO LARGO/BA,2926657,OK
Santa Luz,PI,SANTA LUZ/PI,2209302,OK
Chuvisca,RS,CHUVISCA/RS,4305447,OK
Abreulândia,TO,ABREULANDIA/TO,1700251,OK
Galiléia,MG,GALILEIA/MG,3127305,OK
Palmas de Monte Alto,BA,PALMAS DE MONTE ALTO/BA,2923407,OK
Alagoinha,PE,ALAGOINHA/PE,2600609,OK
Pinhão,PR,PINHAO/PR,4119301,OK
Gado Bravo,PB,GADO BRAVO/PB,2506251,OK
Utinga,BA,UTINGA/BA,2932804,OK
Pilar de Goiás,GO,PILAR DE GOIAS/GO,5216908,OK
Mirassol d'Oeste,MT,MIRASSOL D OESTE/MT,5105622,OK
Ametista do Sul,RS,AMETISTA DO SUL/RS,4300646,OK
Alto Alegre dos Parecis,RO,ALTO ALEGRE DOS PARECIS/RO,1100379,OK
Itamari,BA,ITAMARI/BA,2915700,OK
Campo Alegre do Fidalgo,PI,CAMPO ALEGRE DO FIDALGO/PI,2202117,OK
Lagoa Alegre,PI,LAGOA ALEGRE/PI,2205557,OK
Piranga,MG,PIRANGA/MG,3150802,OK
Capão Alto,SC,CAPAO ALTO/SC,4203253,OK
Santa Fé do Araguaia,TO,SANTA FE DO ARAGUAIA/TO,1718865,OK
Antas,BA,ANTAS/BA,2901601,OK
Coluna,MG,COLUNA/MG,3116803,OK
Gurinhém,PB,GURINHEM/PB,2506400,OK
Pavussu,PI,PAVUSSU/PI,2207850,OK
São Pedro do Piauí,PI,SAO PEDRO DO PIAUI/PI,2210508,OK
Monsenhor Tabosa,CE,MONSENHOR TABOSA/CE,2308609,OK
Conceição do Coité,BA,CONCEICAO DO COITE/BA,2908408,OK
Aurelino Leal,BA,AURELINO LEAL/BA,2902401,OK
Jardim de Piranhas,RN,JARDIM DE PIRANHAS/RN,2405603,OK
Itaparica,BA,ITAPARICA/BA,2916104,OK
São Domingos do Araguaia,PA,SAO DOMINGOS DO ARAGUAIA/PA,1507151,OK
Ribamar Fiquene,MA,RIBAMAR FIQUENE/MA,2109551,OK
Condado,PE,CONDADO/PE,2604601,OK
Santa Rita do Novo Destino,GO,SANTA RITA DO NOVO DESTINO/GO,5219456,OK
Paramoti,CE,PARAMOTI/CE,2310407,OK
Chorozinho,CE,CHOROZINHO/CE,2303956,OK
Mirinzal,MA,MIRINZAL/MA,2106805,OK
São José do Divino,PI,SAO JOSE DO DIVINO/PI,2210052,OK
Santo André,PB,SANTO ANDRE/PB,2513851,OK
Cachoeira dos Índios,PB,CACHOEIRA DOS INDIOS/PB,2503308,OK
Caridade,CE,CARIDADE/CE,2303006,OK
Campos Verdes,GO,CAMPOS VERDES/GO,5204953,OK
Mirante da Serra,RO,MIRANTE DA SERRA/RO,1101302,OK
Monte Alegre dos Campos,RS,MONTE ALEGRE DOS CAMPOS/RS,4312377,OK
Rondon do Pará,PA,RONDON DO PARA/PA,1506187,OK
Lagoão,RS,LAGOAO/RS,4311254,OK
Mirante,BA,MIRANTE/BA,2921450,OK
Orocó,PE,OROCO/PE,2609808,OK
Japaratinga,AL,JAPARATINGA/AL,2703601,OK
Água Preta,PE,AGUA PRETA/PE,2600401,OK
Jacaré dos Homens,AL,JACARE DOS HOMENS/AL,2703403,OK
Fontoura Xavier,RS,FONTOURA XAVIER/RS,4308300,OK
Machacalis,MG,MACHACALIS/MG,3138906,OK
Sebastião Leal,PI,SEBASTIAO LEAL/PI,2210631,OK
Campo Formoso,BA,CAMPO FORMOSO/BA,2906006,OK
Itainópolis,PI,ITAINOPOLIS/PI,2205003,OK
São José das Palmeiras,PR,SAO JOSE DAS PALMEIRAS/PR,4125456,OK
Boa Vista do Tupim,BA,BOA VISTA DO TUPIM/BA,2903805,OK
Cristinápolis,SE,CRISTINAPOLIS/SE,2801702,OK
Tibau,RN,TIBAU/RN,2411056,OK
Fervedouro,MG,FERVEDOURO/MG,3125952,OK
Anguera,BA,ANGUERA/BA,2901502,OK
Ouricuri,PE,OURICURI/PE,2609907,OK
São Valério do Sul,RS,SAO VALERIO DO SUL/RS,4319737,OK
Mostardas,RS,MOSTARDAS/RS,4312500,OK
Santarém Novo,PA,SANTAREM NOVO/PA,1506906,OK
Miranda,MS,MIRANDA/MS,5005608,OK
Juína,MT,JUINA/MT,5105150,OK
Lambari D'Oeste,MT,LAMBARI D OESTE/MT,5105234,OK
Poção,PE,POCAO/PE,2611200,OK
Nova Ubiratã,MT,NOVA UBIRATA/MT,5106240,OK
Nilo Peçanha,BA,NILO PECANHA/BA,2922607,OK
Goioxim,PR,GOIOXIM/PR,4108650,OK
Itagimirim,BA,ITAGIMIRIM/BA,2915304,OK
Jandaíra,RN,JANDAIRA/RN,2405108,OK
Campina do Simão,PR,CAMPINA DO SIMAO/PR,4103958,OK
Herveiras,RS,HERVEIRAS/RS,4309571,OK
Tucano,BA,TUCANO/BA,2931905,OK
Morada Nova,CE,MORADA NOVA/CE,2308708,OK
Ituberá,BA,ITUBERA/BA,2917300,OK
Lagoa da Canoa,AL,LAGOA DA CANOA/AL,2704104,OK
Pacajus,CE,PACAJUS/CE,2309607,OK
Nova Viçosa,BA,NOVA VICOSA/BA,2923001,OK
Dom Eliseu,PA,DOM ELISEU/PA,1502939,OK
Arroio do Tigre,RS,ARROIO DO TIGRE/RS,4301206,OK
Palmares do Sul,RS,PALMARES DO SUL/RS,4313656,OK
Aguiar,PB,AGUIAR/PB,2500205,OK
Novo Oriente de Minas,MG,NOVO ORIENTE DE MINAS/MG,3145356,OK
São Vicente Férrer,PE,SAO VICENTE FERRER/PE,2613800,OK
Viçosa,AL,VICOSA/AL,2709400,OK
Jequitaí,MG,JEQUITAI/MG,3135605,OK
Graça,CE,GRACA/CE,2304657,OK
Aral Moreira,MS,ARAL MOREIRA/MS,5001243,OK
Gavião,BA,GAVIAO/BA,2911253,OK
Santa Rita,MA,SANTA RITA/MA,2110203,OK
Jeremoabo,BA,JEREMOABO/BA,2918100,OK
Pau D'Arco,TO,PAU D ARCO/TO,1716307,OK
Umbaúba,SE,UMBAUBA/SE,2807600,OK
Alagoa Nova,PB,ALAGOA NOVA/PB,2500403,OK
Governador Newton Bello,MA,GOVERNADOR NEWTON BELLO/MA,2104651,OK
Domingos Mourão,PI,DOMINGOS MOURAO/PI,2203420,OK
Cerro Azul,PR,CERRO AZUL/PR,4105201,OK
Muniz Ferreira,BA,MUNIZ FERREIRA/BA,2922201,OK
Esperantina,PI,ESPERANTINA/PI,2203701,OK
São Miguel do Guaporé,RO,SAO MIGUEL DO GUAPORE/RO,1100320,OK
Paracuru,CE,PARACURU/CE,2310209,OK
Varzelândia,MG,VARZELANDIA/MG,3170909,OK
Andorinha,BA,ANDORINHA/BA,2901353,OK
Joaíma,MG,JOAIMA/MG,3136009,OK
Conceição da Barra,ES,CONCEICAO DA BARRA/ES,3201605,OK
São Domingos,GO,SAO DOMINGOS/GO,5219803,OK
João Lisboa,MA,JOAO LISBOA/MA,2105500,OK
Andaraí,BA,ANDARAI/BA,2901304,OK
Carauari,AM,CARAUARI/AM,1301001,OK
Anagé,BA,ANAGE/BA,2901205,OK
Beruri,AM,BERURI/AM,1300631,OK
Ibicoara,BA,IBICOARA/BA,2912202,OK
Rio dos Bois,TO,RIO DOS BOIS/TO,1718709,OK
Pedrão,BA,PEDRAO/BA,2924108,OK
Ferros,MG,FERROS/MG,3125903,OK
Pindobaçu,BA,PINDOBACU/BA,2924603,OK
Manaíra,PB,MANAIRA/PB,2509008,OK
Olinda Nova do Maranhão,MA,OLINDA NOVA DO MARANHAO/MA,2107456,OK
Heitoraí,GO,HEITORAI/GO,5209606,OK
Coribe,BA,CORIBE/BA,2909109,OK
Carinhanha,BA,CARINHANHA/BA,2907103,OK
Belo Campo,BA,BELO CAMPO/BA,2903508,OK
Matões do Norte,MA,MATOES DO NORTE/MA,2106631,OK
Euclides da Cunha,BA,EUCLIDES DA CUNHA/BA,2910701,OK
Estreito,MA,ESTREITO/MA,2104057,OK
Itambacuri,MG,ITAMBACURI/MG,3132701,OK
Padre Paraíso,MG,PADRE PARAISO/MG,3146305,OK
Cansanção,BA,CANSANCAO/BA,2906808,OK
Cabixi,RO,CABIXI/RO,1100031,OK
Aragoiânia,GO,ARAGOIANIA/GO,5201801,OK
Passo de Camaragibe,AL,PASSO DE CAMARAGIBE/AL,2706505,OK
Engenho Velho,RS,ENGENHO VELHO/RS,4306924,OK
Itapebi,BA,ITAPEBI/BA,2916302,OK
Chapadinha,MA,CHAPADINHA/MA,2103208,OK
Santa Margarida do Sul,RS,SANTA MARGARIDA DO SUL/RS,4316972,OK
Mâncio Lima,AC,MANCIO LIMA/AC,1200336,OK
Manga,MG,MANGA/MG,3139300,OK
Morro do Chapéu,BA,MORRO DO CHAPEU/BA,2921708,OK
Correntina,BA,CORRENTINA/BA,2909307,OK
Águas Belas,PE,AGUAS BELAS/PE,2600500,OK
Riachinho,MG,RIACHINHO/MG,3154457,OK
Irituia,PA,IRITUIA/PA,1503507,OK
Cidreira,RS,CIDREIRA/RS,4305454,OK
Cachoeira,BA,CACHOEIRA/BA,2904902,OK
Guajará-Mirim,RO,GUAJARA MIRIM/RO,1100106,OK
Lavandeira,TO,LAVANDEIRA/TO,1712157,OK
Boa Viagem,CE,BOA VIAGEM/CE,2302404,OK
Comodoro,MT,COMODORO/MT,5103304,OK
Materlândia,MG,MATERLANDIA/MG,3140605,OK
Caldeirão Grande do Piauí,PI,CALDEIRAO GRANDE DO PIAUI/PI,2202091,OK
Tacaratu,PE,TACARATU/PE,2614808,OK
Progresso,RS,PROGRESSO/RS,4315156,OK
São João da Baliza,RR,SAO JOAO DA BALIZA/RR,1400506,OK
Piratini,RS,PIRATINI/RS,4314605,OK
Iraí,RS,IRAI/RS,4310504,OK
Senador Alexandre Costa,MA,SENADOR ALEXANDRE COSTA/MA,2111748,OK
Água Limpa,GO,AGUA LIMPA/GO,5200209,OK
Santo Antônio do Tauá,PA,SANTO ANTONIO DO TAUA/PA,1507003,OK
Caatiba,BA,CAATIBA/BA,2904803,OK
Açucena,MG,ACUCENA/MG,3100500,OK
Conceição da Feira,BA,CONCEICAO DA FEIRA/BA,2908200,OK
Vitorino Freire,MA,VITORINO FREIRE/MA,2113009,OK
Taipu,RN,TAIPU/RN,2413904,OK
Cuité de Mamanguape,PB,CUITE DE MAMANGUAPE/PB,2505238,OK
Cristópolis,BA,CRISTOPOLIS/BA,2909703,OK
Olho d'Água do Casado,AL,OLHO D AGUA DO CASADO/AL,2705804,OK
Marituba,PA,MARITUBA/PA,1504422,OK
Taipas do Tocantins,TO,TAIPAS DO TOCANTINS/TO,1720937,OK
Wanderlândia,TO,WANDERLANDIA/TO,1722081,OK
Cândido Mendes,MA,CANDIDO MENDES/MA,2102606,OK
Paragominas,PA,PARAGOMINAS/PA,1505502,OK
Barão de Grajaú,MA,BARAO DE GRAJAU/MA,2101509,OK
Cruzeiro do Sul,AC,CRUZEIRO DO SUL/AC,1200203,OK
São Miguel do Passa Quatro,GO,SAO MIGUEL DO PASSA QUATRO/GO,5220264,OK
Ipueiras,TO,IPUEIRAS/TO,1709807,OK
Beberibe,CE,BEBERIBE/CE,2302206,OK
Cidelândia,MA,CIDELANDIA/MA,2103257,OK
Pedra Preta,RN,PEDRA PRETA/RN,2409605,OK
Palmeiras do Tocantins,TO,PALMEIRAS DO TOCANTINS/TO,1713809,OK
Canutama,AM,CANUTAMA/AM,1300904,OK
Santa Efigênia de Minas,MG,SANTA EFIGENIA DE MINAS/MG,3157500,OK
Poço Redondo,SE,POCO REDONDO/SE,2805406,OK
Maragogipe,BA,MARAGOGIPE/BA,2920601,OK
Tunas do Paraná,PR,TUNAS DO PARANA/PR,4127882,OK
Plácido de Castro,AC,PLACIDO DE CASTRO/AC,1200385,OK
Centro Novo do Maranhão,MA,CENTRO NOVO DO MARANHAO/MA,2103174,OK
Sapucaia,PA,SAPUCAIA/PA,1507755,OK
Rio Crespo,RO,RIO CRESPO/RO,1100262,OK
Guaiúba,CE,GUAIUBA/CE,2304954,OK
Monsenhor Hipólito,PI,MONSENHOR HIPOLITO/PI,2206506,OK
Alto Boa Vista,MT,ALTO BOA VISTA/MT,5100359,OK
Saloá,PE,SALOA/PE,2612307,OK
Januário Cicco,RN,JANUARIO CICCO/RN,2405306,OK
Lajedinho,BA,LAJEDINHO/BA,2919009,OK
Humaitá,AM,HUMAITA/AM,1301704,OK
Novo Santo Antônio,PI,NOVO SANTO ANTONIO/PI,2206951,OK
Congo,PB,CONGO/PB,2504702,OK
Canudos,BA,CANUDOS/BA,2906824,OK
Cocal,PI,COCAL/PI,2202703,OK
Siriri,SE,SIRIRI/SE,2807204,OK
Filadélfia,BA,FILADELFIA/BA,2910859,OK
São Bento,MA,SAO BENTO/MA,2110500,OK
Umirim,CE,UMIRIM/CE,2313757,OK
Rio da Conceição,TO,RIO DA CONCEICAO/TO,1718659,OK
São Francisco do Brejão,MA,SAO FRANCISCO DO BREJAO/MA,2110856,OK
Coaraci,BA,COARACI/BA,2908002,OK
Atalaia,AL,ATALAIA/AL,2700409,OK
Lagoa Grande do Maranhão,MA,LAGOA GRANDE DO MARANHAO/MA,2105963,OK
Massapê do Piauí,PI,MASSAPE DO PIAUI/PI,2206050,OK
São Bernardo,MA,SAO BERNARDO/MA,2110609,OK
Muaná,PA,MUANA/PA,1504901,OK
Paratinga,BA,PARATINGA/BA,2923704,OK
Capão Bonito do Sul,RS,CAPAO BONITO DO SUL/RS,4304622,OK
Brejo da Madre de Deus,PE,BREJO DA MADRE DE DEUS/PE,2602605,OK
São Valério,TO,SAO VALERIO/TO,1720499,OK
Esperantinópolis,MA,ESPERANTINOPOLIS/MA,2104008,OK
Coronel José Dias,PI,CORONEL JOSE DIAS/PI,2202851,OK
Fruta de Leite,MG,FRUTA DE LEITE/MG,3127073,OK
Codajás,AM,CODAJAS/AM,1301308,OK
Rodrigues Alves,AC,RODRIGUES ALVES/AC,1200427,OK
Palmares,PE,PALMARES/PE,2610004,OK
Maetinga,BA,MAETINGA/BA,2919959,OK
Parecis,RO,PARECIS/RO,1101450,OK
Barra do Rocha,BA,BARRA DO ROCHA/BA,2903102,OK
Manoel Vitorino,BA,MANOEL VITORINO/BA,2920403,OK
Colares,PA,COLARES/PA,1502608,OK
Chã de Alegria,PE,CHA DE ALEGRIA/PE,2604403,OK
Belterra,PA,BELTERRA/PA,1501451,OK
São João do Sul,SC,SAO JOAO DO SUL/SC,4216404,OK
Tanquinho,BA,TANQUINHO/BA,2931103,OK
Serra dos Aimorés,MG,SERRA DOS AIMORES/MG,3166709,OK
São Miguel de Taipu,PB,SAO MIGUEL DE TAIPU/PB,2515005,OK
São Vicente do Seridó,PB,SAO VICENTE DO SERIDO/PB,2515401,OK
Ibitiara,BA,IBITIARA/BA,2913002,OK
São José da Coroa Grande,PE,SAO JOSE DA COROA GRANDE/PE,2613404,OK
São João de Pirabas,PA,SAO JOAO DE PIRABAS/PA,1507474,OK
Miranda do Norte,MA,MIRANDA DO NORTE/MA,2106755,OK
Amarante,PI,AMARANTE/PI,2200509,OK
Ourilândia do Norte,PA,OURILANDIA DO NORTE/PA,1505437,OK
Glória,BA,GLORIA/BA,2911402,OK
Tejuçuoca,CE,TEJUCUOCA/CE,2313351,OK
Cristalândia do Piauí,PI,CRISTALANDIA DO PIAUI/PI,2203008,OK
Cícero Dantas,BA,CICERO DANTAS/BA,2907806,OK
Terra Nova,BA,TERRA NOVA/BA,2931707,OK
Barra,BA,BARRA/BA,2902708,OK
Canapi,AL,CANAPI/AL,2701605,OK
Governador Edison Lobão,MA,GOVERNADOR EDISON LOBAO/MA,2104552,OK
Nioaque,MS,NIOAQUE/MS,5005806,OK
Inhambupe,BA,INHAMBUPE/BA,2913705,OK
São José da Tapera,AL,SAO JOSE DA TAPERA/AL,2708402,OK
Jurema,PI,JUREMA/PI,2205532,OK
Pindaré-Mirim,MA,PINDARE MIRIM/MA,2108504,OK
Itaguatins,TO,ITAGUATINS/TO,1710706,OK
Luís Domingues,MA,LUIS DOMINGUES/MA,2106201,OK
Independência,CE,INDEPENDENCIA/CE,2305605,OK
Santa Maria da Vitória,BA,SANTA MARIA DA VITORIA/BA,2928109,OK
Lago do Junco,MA,LAGO DO JUNCO/MA,2105807,OK
Codó,MA,CODO/MA,2103307,OK
Flores de Goiás,GO,FLORES DE GOIAS/GO,5207907,OK
Tuntum,MA,TUNTUM/MA,2112308,OK
Nova Timboteua,PA,NOVA TIMBOTEUA/PA,1505007,OK
São Luís do Curu,CE,SAO LUIS DO CURU/CE,2312601,OK
Luislândia,MG,LUISLANDIA/MG,3138682,OK
Poço das Trincheiras,AL,POCO DAS TRINCHEIRAS/AL,2707206,OK
Bertópolis,MG,BERTOPOLIS/MG,3106606,OK
Sumidouro,RJ,SUMIDOURO/RJ,3305703,OK
Cândido Sales,BA,CANDIDO SALES/BA,2906709,OK
Padre Marcos,PI,PADRE MARCOS/PI,2207207,OK
Castanhal,PA,CASTANHAL/PA,1502400,OK
Coelho Neto,MA,COELHO NETO/MA,2103406,OK
Gameleira de Goiás,GO,GAMELEIRA DE GOIAS/GO,5208152,OK
Itaguaçu da Bahia,BA,ITAGUACU DA BAHIA/BA,2915353,OK
Cajazeirinhas,PB,CAJAZEIRINHAS/PB,2503753,OK
Santa Bárbara,BA,SANTA BARBARA/BA,2927507,OK
Santa Maria do Pará,PA,SANTA MARIA DO PARA/PA,1506609,OK
Boninal,BA,BONINAL/BA,2904001,OK
Botumirim,MG,BOTUMIRIM/MG,3108503,OK
Paulistana,PI,PAULISTANA/PI,2207801,OK
Santa Izabel do Pará,PA,SANTA IZABEL DO PARA/PA,1506500,OK
Serranópolis de Minas,MG,SERRANOPOLIS DE MINAS/MG,3166956,OK
Mundo Novo,GO,MUNDO NOVO/GO,5214051,OK
Confresa,MT,CONFRESA/MT,5103353,OK
Canto do Buriti,PI,CANTO DO BURITI/PI,2202307,OK
São João do Triunfo,PR,SAO JOAO DO TRIUNFO/PR,4125100,OK
